file,decision,area,cx,cy,offset,blob_count,model_top1,model_top1_prob,model_label_prob,reason
aihub_paper_001689.jpg,pass,0.7042,0.3836,0.537,0.1221,1,paper,0.9995,0.9995,
aihub_paper_001690.jpg,fail,0.3137,0.6255,0.503,0.1255,4,paper,0.9983,0.9983,blobs>2
aihub_paper_001691.jpg,fail,0.1341,0.4877,0.6014,0.1021,1,paper,0.9942,0.9942,area<0.18
aihub_paper_001692.jpg,fail,0.2949,0.6039,0.4022,0.1427,4,paper,0.9998,0.9998,blobs>2
aihub_paper_001693.jpg,fail,0.2018,0.6394,0.2844,0.2568,1,paper,0.9846,0.9846,offset>0.25
aihub_paper_001694.jpg,fail,0.1971,0.3456,0.3576,0.21,3,paper,0.9737,0.9737,blobs>2
aihub_paper_001695.jpg,pass,0.6591,0.3884,0.5762,0.1351,1,paper,0.9937,0.9937,
aihub_paper_001696.jpg,fail,0.1107,0.3613,0.2397,0.2949,2,paper,0.9894,0.9894,"area<0.18,offset>0.25"
aihub_paper_001697.jpg,fail,0.1532,0.3037,0.402,0.2194,3,paper,0.995,0.995,"area<0.18,blobs>2"
aihub_paper_001698.jpg,pass,0.675,0.5185,0.4201,0.082,1,paper,0.9974,0.9974,
aihub_paper_001699.jpg,fail,0.0588,0.5188,0.2588,0.242,1,paper,0.4058,0.4058,area<0.18
aihub_paper_001700.jpg,fail,0.1305,0.405,0.5164,0.0965,2,paper,0.999,0.999,area<0.18
aihub_paper_001701.jpg,pass,0.4499,0.4796,0.402,0.1001,1,paper,0.9963,0.9963,
aihub_paper_001702.jpg,fail,0.0896,0.3196,0.392,0.2102,3,paper,0.9996,0.9996,"area<0.18,blobs>2"
aihub_paper_001703.jpg,fail,0.0123,0.4201,0.2995,0.2158,1,paper,0.9985,0.9985,area<0.18
aihub_paper_001704.jpg,fail,0.0279,0.6591,0.38,0.1993,4,paper,0.978,0.978,"area<0.18,blobs>2"
aihub_paper_001705.jpg,fail,0.1044,0.3381,0.3397,0.2279,3,paper,0.9993,0.9993,"area<0.18,blobs>2"
aihub_paper_001706.jpg,fail,0.0387,0.334,0.6471,0.2218,2,paper,0.9867,0.9867,area<0.18
aihub_paper_001707.jpg,fail,0.1275,0.382,0.2558,0.2712,1,paper,0.9972,0.9972,"area<0.18,offset>0.25"
aihub_paper_001708.jpg,fail,0.4329,0.299,0.4174,0.2173,3,paper,0.993,0.993,blobs>2
aihub_paper_001709.jpg,pass,0.4531,0.2978,0.4556,0.2071,1,paper,0.9134,0.9134,
aihub_paper_001710.jpg,fail,0.0425,0.4851,0.5817,0.083,2,paper,0.9972,0.9972,area<0.18
aihub_paper_001711.jpg,pass,0.2882,0.5045,0.4554,0.0448,1,paper,0.9988,0.9988,
aihub_paper_001712.jpg,fail,0.0191,0.3245,0.7247,0.2851,1,paper,0.9914,0.9914,"area<0.18,offset>0.25"
aihub_paper_001713.jpg,pass,0.4679,0.3008,0.4597,0.2032,1,paper,0.9889,0.9889,
aihub_paper_001714.jpg,pass,0.2135,0.6194,0.5047,0.1195,2,paper,0.996,0.996,
aihub_paper_001715.jpg,fail,0.173,0.2063,0.3497,0.3299,2,paper,0.8903,0.8903,"area<0.18,offset>0.25"
aihub_paper_001716.jpg,fail,0.0366,0.5787,0.6643,0.1821,2,paper,0.9923,0.9923,area<0.18
aihub_paper_001717.jpg,pass,0.3384,0.4832,0.6523,0.1533,1,paper,0.966,0.966,
aihub_paper_001718.jpg,fail,0.0576,0.5146,0.5071,0.0162,1,paper,0.971,0.971,area<0.18
aihub_paper_001719.jpg,fail,0.0909,0.3925,0.292,0.2342,2,paper,0.8874,0.8874,area<0.18
aihub_paper_001720.jpg,fail,0.0363,0.4347,0.4015,0.1182,2,paper,0.999,0.999,area<0.18
aihub_paper_001721.jpg,fail,0.0399,0.4041,0.2148,0.3009,3,paper,0.9994,0.9994,"area<0.18,offset>0.25,blobs>2"
aihub_paper_001722.jpg,fail,0.0803,0.267,0.4094,0.25,3,paper,0.9568,0.9568,"area<0.18,blobs>2"
aihub_paper_001723.jpg,pass,0.3916,0.5433,0.4866,0.0453,1,paper,0.9936,0.9936,
aihub_paper_001724.jpg,pass,0.6348,0.5074,0.6112,0.1115,1,paper,0.6934,0.6934,
aihub_paper_001725.jpg,pass,0.2055,0.4194,0.3632,0.1588,2,paper,0.8327,0.8327,
aihub_paper_001726.jpg,pass,0.3238,0.4591,0.4945,0.0412,2,paper,0.6837,0.6837,
aihub_paper_001727.jpg,fail,0.1826,0.2056,0.3785,0.3185,2,paper,0.9916,0.9916,offset>0.25
aihub_paper_001728.jpg,fail,0.1108,0.6971,0.7198,0.2952,1,paper,0.9924,0.9924,"area<0.18,offset>0.25"
aihub_paper_001729.jpg,fail,0.0235,0.4927,0.1369,0.3632,2,paper,0.9904,0.9904,"area<0.18,offset>0.25"
aihub_paper_001730.jpg,pass,0.1924,0.4362,0.2779,0.2311,1,paper,0.9981,0.9981,
aihub_paper_001731.jpg,fail,0.1295,0.592,0.3254,0.1974,1,paper,0.9992,0.9992,area<0.18
aihub_paper_001732.jpg,fail,0.5303,0.546,0.6622,0.1686,4,paper,0.6808,0.6808,blobs>2
aihub_paper_001733.jpg,pass,0.5278,0.4793,0.4493,0.0548,1,paper,0.9988,0.9988,
aihub_paper_001734.jpg,fail,0.3762,0.5478,0.3993,0.1115,3,paper,0.9994,0.9994,blobs>2
aihub_paper_001735.jpg,fail,0.1799,0.4409,0.5432,0.0732,1,paper,0.9986,0.9986,area<0.18
aihub_paper_001736.jpg,fail,0.1288,0.5759,0.5209,0.0788,2,paper,0.8143,0.8143,area<0.18
aihub_paper_001737.jpg,pass,0.4919,0.4458,0.4818,0.0572,2,paper,0.9986,0.9986,
aihub_paper_001738.jpg,fail,0.3104,0.5238,0.7565,0.2576,1,paper,0.9992,0.9992,offset>0.25
aihub_paper_001739.jpg,pass,0.3456,0.393,0.288,0.2374,1,paper,0.997,0.997,
aihub_paper_001740.jpg,pass,0.1979,0.5545,0.6267,0.1379,1,paper,0.9966,0.9966,
aihub_paper_001741.jpg,pass,0.2904,0.4712,0.7229,0.2248,1,paper,0.9987,0.9987,
aihub_paper_001742.jpg,pass,0.5289,0.4673,0.512,0.0349,2,paper,0.9998,0.9998,
aihub_paper_001743.jpg,pass,0.354,0.5044,0.4873,0.0134,2,paper,0.9969,0.9969,
aihub_paper_001744.jpg,fail,0.4811,0.4753,0.575,0.079,3,paper,0.9976,0.9976,blobs>2
aihub_paper_001745.jpg,pass,0.3943,0.4739,0.5941,0.0976,1,paper,0.9639,0.9639,
aihub_paper_001746.jpg,fail,0.0612,0.4475,0.7352,0.241,2,paper,0.9939,0.9939,area<0.18
aihub_paper_001747.jpg,fail,0.0471,0.459,0.5668,0.0783,3,paper,0.9989,0.9989,"area<0.18,blobs>2"
aihub_paper_001748.jpg,fail,0.1604,0.4669,0.3134,0.1895,4,paper,0.9986,0.9986,"area<0.18,blobs>2"
aihub_paper_001749.jpg,fail,0.0753,0.6519,0.4359,0.1648,4,paper,0.9972,0.9972,"area<0.18,blobs>2"
aihub_paper_001750.jpg,pass,0.5192,0.5238,0.5655,0.0697,2,paper,0.9996,0.9996,
aihub_paper_001751.jpg,fail,0.1244,0.4442,0.5162,0.0581,4,paper,0.9848,0.9848,"area<0.18,blobs>2"
aihub_paper_001752.jpg,fail,0.0391,0.7974,0.4276,0.3061,3,paper,0.9799,0.9799,"area<0.18,offset>0.25,blobs>2"
aihub_paper_001753.jpg,fail,0.7767,0.5181,0.576,0.0781,3,paper,0.9339,0.9339,blobs>2
aihub_paper_001754.jpg,fail,0.0409,0.7036,0.5128,0.204,5,paper,0.9991,0.9991,"area<0.18,blobs>2"
aihub_paper_001755.jpg,pass,0.8244,0.5106,0.5612,0.0621,2,paper,0.5061,0.5061,
aihub_paper_001756.jpg,pass,0.484,0.4469,0.5562,0.0773,1,paper,0.9978,0.9978,
aihub_paper_001757.jpg,pass,0.4818,0.4861,0.5636,0.0651,2,paper,0.9846,0.9846,
aihub_paper_001758.jpg,fail,0.121,0.6469,0.4295,0.1629,2,paper,0.998,0.998,area<0.18
aihub_paper_001759.jpg,pass,0.1958,0.4524,0.624,0.1329,2,paper,0.9977,0.9977,
aihub_paper_001760.jpg,fail,0.1056,0.5028,0.4457,0.0544,2,paper,0.9954,0.9954,area<0.18
aihub_paper_001761.jpg,fail,0.1382,0.5158,0.3682,0.1327,1,paper,0.9397,0.9397,area<0.18
aihub_paper_001762.jpg,pass,0.2112,0.4211,0.4178,0.114,2,paper,0.9311,0.9311,
aihub_paper_001763.jpg,pass,0.3955,0.54,0.6885,0.1927,2,paper,0.9996,0.9996,
aihub_paper_001764.jpg,pass,0.4796,0.4198,0.529,0.0853,1,paper,0.9967,0.9967,
aihub_paper_001765.jpg,fail,0.1144,0.4205,0.2704,0.2429,2,paper,0.9934,0.9934,area<0.18
aihub_paper_001766.jpg,fail,0.1766,0.5205,0.4663,0.0395,1,paper,0.9946,0.9946,area<0.18
aihub_paper_001767.jpg,fail,0.3459,0.4636,0.5696,0.0785,3,paper,0.9989,0.9989,blobs>2
aihub_paper_001768.jpg,fail,0.274,0.5607,0.6247,0.1387,4,paper,0.9998,0.9998,blobs>2
aihub_paper_001769.jpg,fail,0.0623,0.2499,0.4694,0.2519,1,styrofoam,0.5362,0.4613,"area<0.18,offset>0.25"
aihub_paper_001770.jpg,fail,0.3557,0.4971,0.7217,0.2217,3,paper,0.9952,0.9952,blobs>2
aihub_paper_001771.jpg,fail,0.3768,0.4953,0.5388,0.0391,3,paper,0.9188,0.9188,blobs>2
aihub_paper_001772.jpg,fail,0.2955,0.5288,0.7636,0.2651,2,paper,0.9974,0.9974,offset>0.25
aihub_paper_001773.jpg,pass,0.3575,0.5595,0.4404,0.0842,1,paper,0.9907,0.9907,
aihub_paper_001774.jpg,pass,0.5035,0.4904,0.5255,0.0273,1,paper,0.9693,0.9693,
aihub_paper_001775.jpg,pass,0.3257,0.4653,0.5753,0.083,1,paper,0.9995,0.9995,
aihub_paper_001776.jpg,fail,0.2135,0.5642,0.7903,0.2973,1,paper,0.9915,0.9915,offset>0.25
aihub_paper_001777.jpg,pass,0.2016,0.6234,0.6969,0.2323,1,paper,0.9626,0.9626,
aihub_paper_001778.jpg,fail,0.0861,0.2449,0.4375,0.2627,2,paper,0.9914,0.9914,"area<0.18,offset>0.25"
aihub_paper_001779.jpg,pass,0.5799,0.4748,0.4858,0.029,2,paper,0.999,0.999,
aihub_paper_001780.jpg,fail,0.1438,0.7208,0.431,0.2313,1,paper,0.9998,0.9998,area<0.18
aihub_paper_001781.jpg,fail,0.2273,0.4443,0.4541,0.0721,5,paper,0.9992,0.9992,blobs>2
aihub_paper_001782.jpg,fail,0.1029,0.4647,0.4279,0.0802,1,paper,0.9949,0.9949,area<0.18
aihub_paper_001783.jpg,fail,0.1086,0.5478,0.5979,0.1089,4,paper,0.9952,0.9952,"area<0.18,blobs>2"
aihub_paper_001784.jpg,pass,0.3339,0.5887,0.5646,0.1097,2,paper,0.9975,0.9975,
aihub_paper_001785.jpg,fail,0.101,0.493,0.1926,0.3075,2,paper,0.9998,0.9998,"area<0.18,offset>0.25"
aihub_paper_001786.jpg,fail,0.019,0.4608,0.3266,0.1778,1,paper,0.9958,0.9958,area<0.18
aihub_paper_001787.jpg,pass,0.4823,0.5079,0.5141,0.0162,1,paper,0.9972,0.9972,
aihub_paper_001788.jpg,pass,0.4512,0.5165,0.5725,0.0743,1,paper,0.9931,0.9931,
aihub_paper_001789.jpg,fail,0.0649,0.4261,0.5816,0.1101,2,paper,0.9979,0.9979,area<0.18
aihub_paper_001790.jpg,fail,0.1239,0.548,0.2973,0.2084,2,paper,0.9991,0.9991,area<0.18
aihub_paper_001791.jpg,fail,0.1468,0.4105,0.5094,0.09,5,paper,0.9911,0.9911,"area<0.18,blobs>2"
aihub_paper_001792.jpg,pass,0.4236,0.63,0.5681,0.1468,1,paper,0.9989,0.9989,
aihub_paper_001793.jpg,pass,0.3636,0.416,0.4596,0.0932,2,paper,0.9998,0.9998,
aihub_paper_001794.jpg,pass,0.5181,0.5186,0.4871,0.0226,1,paper,0.9799,0.9799,
aihub_paper_001795.jpg,fail,0.0309,0.6361,0.5701,0.1531,1,paper,0.9839,0.9839,area<0.18
aihub_paper_001796.jpg,pass,0.2369,0.4549,0.5333,0.0561,1,paper,0.9987,0.9987,
aihub_paper_001797.jpg,fail,0.1316,0.6485,0.586,0.1716,4,paper,0.9798,0.9798,"area<0.18,blobs>2"
aihub_paper_001798.jpg,fail,0.0976,0.4858,0.4838,0.0216,2,paper,0.9985,0.9985,area<0.18
aihub_paper_001799.jpg,fail,0.0496,0.4908,0.4363,0.0644,7,paper,0.9857,0.9857,"area<0.18,blobs>2"
aihub_paper_001800.jpg,pass,0.5455,0.4846,0.5245,0.029,1,paper,0.9991,0.9991,
aihub_paper_001801.jpg,fail,0.0959,0.5687,0.683,0.1954,4,paper,0.9937,0.9937,"area<0.18,blobs>2"
aihub_paper_001802.jpg,fail,0.1275,0.6479,0.5674,0.1625,1,paper,0.9953,0.9953,area<0.18
aihub_paper_001803.jpg,fail,0.1717,0.5252,0.703,0.2046,10,paper,0.9996,0.9996,"area<0.18,blobs>2"
aihub_paper_001804.jpg,pass,0.5044,0.5465,0.5078,0.0472,1,paper,0.9964,0.9964,
aihub_paper_001805.jpg,pass,0.1824,0.5216,0.6217,0.1236,2,paper,0.9978,0.9978,
aihub_paper_001806.jpg,fail,0.1422,0.5191,0.71,0.2108,2,paper,0.9993,0.9993,area<0.18
aihub_paper_001807.jpg,fail,0.0259,0.4924,0.2563,0.2438,1,paper,0.9968,0.9968,area<0.18
aihub_paper_001808.jpg,pass,0.3688,0.4882,0.511,0.0161,2,paper,0.9986,0.9986,
aihub_paper_001809.jpg,fail,0.0209,0.6111,0.42,0.1369,2,paper,0.9994,0.9994,area<0.18
aihub_paper_001810.jpg,fail,0.1215,0.4568,0.44,0.0739,3,paper,0.9982,0.9982,"area<0.18,blobs>2"
aihub_paper_001811.jpg,pass,0.4983,0.5408,0.521,0.0458,2,paper,0.9994,0.9994,
aihub_paper_001812.jpg,fail,0.1226,0.3429,0.5562,0.1668,2,paper,0.9992,0.9992,area<0.18
aihub_paper_001813.jpg,pass,0.2352,0.4939,0.6653,0.1654,2,paper,0.9773,0.9773,
aihub_paper_001814.jpg,pass,0.237,0.5377,0.6958,0.1994,1,paper,0.9999,0.9999,
aihub_paper_001815.jpg,fail,0.0358,0.5168,0.3457,0.1552,2,paper,0.8916,0.8916,area<0.18
aihub_paper_001816.jpg,pass,0.2131,0.4414,0.3315,0.1784,1,paper,0.9999,0.9999,
aihub_paper_001817.jpg,fail,0.0182,0.4085,0.5321,0.097,2,paper,0.9994,0.9994,area<0.18
aihub_paper_001818.jpg,pass,0.4582,0.4961,0.6033,0.1034,1,paper,0.9994,0.9994,
aihub_paper_001819.jpg,pass,0.2235,0.5875,0.4307,0.1116,1,paper,0.9967,0.9967,
aihub_paper_001820.jpg,fail,0.3231,0.455,0.6787,0.1843,3,paper,0.9322,0.9322,blobs>2
aihub_paper_001821.jpg,pass,0.3563,0.4617,0.5298,0.0486,1,paper,0.9955,0.9955,
aihub_paper_001822.jpg,fail,0.0464,0.5471,0.4512,0.0678,1,paper,0.9991,0.9991,area<0.18
aihub_paper_001823.jpg,pass,0.4651,0.544,0.4845,0.0466,1,paper,0.9974,0.9974,
aihub_paper_001824.jpg,pass,0.2923,0.5225,0.5786,0.0817,1,paper,0.9999,0.9999,
aihub_paper_001825.jpg,fail,0.0567,0.3577,0.3044,0.2419,1,paper,0.9985,0.9985,area<0.18
aihub_paper_001826.jpg,pass,0.4327,0.536,0.6571,0.1612,2,paper,0.9982,0.9982,
aihub_paper_001827.jpg,pass,0.4788,0.5191,0.5941,0.096,1,paper,0.9888,0.9888,
aihub_paper_001828.jpg,fail,0.22,0.4478,0.525,0.0579,3,paper,0.9944,0.9944,blobs>2
aihub_paper_001829.jpg,pass,0.5964,0.4974,0.5321,0.0322,1,paper,0.9753,0.9753,
aihub_paper_001830.jpg,fail,0.0179,0.4468,0.6755,0.1834,1,paper,0.996,0.996,area<0.18
aihub_paper_001831.jpg,pass,0.3546,0.5532,0.6426,0.1522,1,paper,0.9972,0.9972,
aihub_paper_001832.jpg,pass,0.3946,0.5692,0.6312,0.1483,1,paper,0.9984,0.9984,
aihub_paper_001833.jpg,fail,0.0943,0.7982,0.4052,0.3129,1,paper,0.9442,0.9442,"area<0.18,offset>0.25"
aihub_paper_001834.jpg,pass,0.5712,0.5037,0.5778,0.0779,1,paper,0.9989,0.9989,
aihub_paper_001835.jpg,pass,0.1816,0.3577,0.5713,0.1591,2,paper,0.9979,0.9979,
aihub_paper_001836.jpg,fail,0.1634,0.3032,0.3614,0.2407,1,paper,0.999,0.999,area<0.18
aihub_paper_001837.jpg,pass,0.5751,0.5317,0.5956,0.1007,1,paper,0.9991,0.9991,
aihub_paper_001838.jpg,pass,0.2789,0.44,0.2703,0.2374,1,paper,0.9999,0.9999,
aihub_paper_001839.jpg,pass,0.3842,0.5515,0.6257,0.1358,2,paper,0.9934,0.9934,
aihub_paper_001840.jpg,fail,0.2166,0.6278,0.2422,0.2877,3,paper,0.9997,0.9997,"offset>0.25,blobs>2"
aihub_paper_001841.jpg,pass,0.4129,0.5181,0.5925,0.0942,1,paper,0.998,0.998,
aihub_paper_001842.jpg,fail,0.1483,0.5415,0.483,0.0448,3,paper,0.9892,0.9892,"area<0.18,blobs>2"
aihub_paper_001843.jpg,pass,0.3685,0.3876,0.4308,0.132,1,paper,0.792,0.792,
aihub_paper_001844.jpg,fail,0.0357,0.4416,0.6671,0.1771,3,paper,0.9995,0.9995,"area<0.18,blobs>2"
aihub_paper_001845.jpg,fail,0.1162,0.3695,0.3497,0.199,2,paper,0.9997,0.9997,area<0.18
aihub_paper_001846.jpg,fail,0.1512,0.368,0.5182,0.1333,1,paper,0.9966,0.9966,area<0.18
